index,cliente,latitud,longitud,fin_visita,order
1014,70,-34.6004053296245,-58.5119611680013,2024-05-23 12:36:04,77
23241,20,-34.6161883606165,-58.4652647313639,2024-05-23 12:36:22,78
15017,20,-34.6320610850016,-58.4689377744402,2024-05-23 12:40:26,79
11685,70,-34.6011263002522,-58.5116942821312,2024-05-23 12:42:04,80
4209,20,-34.6346048,-58.4366706,2024-05-23 12:43:31,81
19543,20,-34.6349192578499,-58.4368186633481,2024-05-23 12:43:31,82
11120,20,-34.610582,-58.361919,2024-05-23 12:45:24,83
19347,20,-34.5907598626349,-58.3995319148196,2024-05-23 12:45:52,84
94,70,-34.5821615834955,-58.4956718602903,2024-05-23 12:46:24,85
25875,20,-34.5738421735503,-58.4853506828298,2024-05-23 12:48:56,86
12716,20,-34.6338676,-58.4254673,2024-05-23 12:49:31,87
12581,20,-34.630052,-58.463685,2024-05-23 12:51:26,88
12710,20,-34.633662,-58.423716,2024-05-23 12:54:31,89
19194,70,-34.6070863413968,-58.5213614134115,2024-05-23 12:55:16,90
18781,70,-34.5866971341636,-58.502721479734,2024-05-23 12:55:24,91
8668,70,-34.5641131815225,-58.4480389749338,2024-05-23 12:56:27,92
12804,20,-34.6333821140068,-58.4685376944728,2024-05-23 12:58:26,93
3998,20,-34.626940556361,-58.4508107490328,2024-05-23 12:58:41,94
23366,70,-34.5624643669899,-58.4527441292546,2024-05-23 12:58:52,95
26764,20,-34.592467433132,-58.4060798781096,2024-05-23 12:59:33,96
19879,70,-34.5758722093034,-58.4889256171341,2024-05-23 13:01:19,97
17422,20,-34.6376990031944,-58.4190943037992,2024-05-23 13:01:45,98
22742,70,-34.5860735605162,-58.5016948524835,2024-05-23 13:02:24,99
156,70,-34.6074201271685,-58.5183007492674,2024-05-23 13:03:04,100
14687,20,-34.624753,-58.451562,2024-05-23 13:05:12,101
4101,20,-34.6313402843388,-58.4162042739137,2024-05-23 13:05:45,102
4341,20,-34.6243558980534,-58.4505452465264,2024-05-23 13:06:23,103
