index,cliente,latitud,longitud,fin_visita,order
17016,20,-34.5681863398433,-58.4830802906626,2024-05-30 12:52:29,75
20614,70,-34.6156852074362,-58.4981760942751,2024-05-30 12:52:36,76
15634,20,-34.567251,-58.458529,2024-05-30 12:54:00,77
11774,70,-34.6049908501859,-58.4945795717971,2024-05-30 12:59:37,78
19545,20,-34.5692070362499,-58.4892912093056,2024-05-30 13:02:10,79
1144,20,-34.565872,-58.456109,2024-05-30 13:03:00,80
16831,20,-34.5981752143312,-58.3763774309339,2024-05-30 13:03:35,81
8116,70,-34.5876886319921,-58.4986123918328,2024-05-30 13:04:05,82
19573,20,-34.6503116094737,-58.4905027696967,2024-05-30 13:06:25,83
16132,70,-34.6115265144457,-58.4903703466836,2024-05-30 13:08:49,84
18257,70,-34.6004158083929,-58.4953309110945,2024-05-30 13:09:58,85
632,70,-34.6006069095758,-58.4959696238603,2024-05-30 13:09:58,86
18198,20,-34.6487604917088,-58.4886817891375,2024-05-30 13:14:50,87
25103,20,-34.4742780768344,-58.5019637391528,2024-05-30 13:14:59,88
16517,20,-34.567524,-58.456851,2024-05-30 13:15:21,89
759,70,-34.6081056878339,-58.4914617556985,2024-05-30 13:18:35,90
7892,70,-34.6074869163682,-58.4975997087466,2024-05-30 13:19:38,91
26899,20,-34.6154429175825,-58.4613935332347,2024-05-30 13:19:55,92
26915,20,-34.5663282411574,-58.4946719069275,2024-05-30 13:20:38,93
16558,20,-34.5677671025805,-58.4550252640995,2024-05-30 13:21:21,94
23816,70,-34.5847247362785,-58.4964177627069,2024-05-30 13:22:21,95
26903,20,-34.6167799424829,-58.4581946867879,2024-05-30 13:27:32,96
651,70,-34.5571536844885,-58.4656117538471,2024-05-30 13:35:12,97
12152,20,-34.5700916,-58.4882547,2024-05-30 13:35:34,98
23181,70,-34.6108072110915,-58.4988231967368,2024-05-30 13:35:37,99
1392,20,-34.473623,-58.5225231,2024-05-30 13:39:54,100
26453,20,-34.6158724386665,-58.4316529361608,2024-05-30 13:40:28,101
11842,70,-34.6122303642066,-58.4862908799534,2024-05-30 13:40:33,102
8028,70,-34.6139782985277,-58.4976503263584,2024-05-30 13:41:36,103
18595,70,-34.5562989193867,-58.4643141427818,2024-05-30 13:43:12,104
13990,20,-34.567981,-58.451719,2024-05-30 13:43:21,105
13989,20,-34.567981,-58.451719,2024-05-30 13:43:21,106
22181,20,-34.6449525020665,-58.4952999651203,2024-05-30 13:45:16,107
16259,20,-34.64512,-58.49544,2024-05-30 13:45:16,108
658,70,-34.5554944315527,-58.462407010198,2024-05-30 13:46:10,109
18990,70,-34.6203040894663,-58.4828655859269,2024-05-30 13:48:33,110
1400,20,-34.5988006591797,-58.371452331543,2024-05-30 13:48:35,111
14732,20,-34.645896,-58.490952,2024-05-30 13:49:44,112
25348,20,-34.625783231265,-58.4459917161928,2024-05-30 13:52:45,113
11943,20,-34.4699406279015,-58.5202101904556,2024-05-30 13:54:34,114
1961,20,-34.470364,-58.5210171,2024-05-30 13:54:34,115
6367,20,-34.567895,-58.442995,2024-05-30 13:57:21,116
25481,20,-34.6280501639662,-58.4503442577811,2024-05-30 13:58:57,117
25817,20,-34.6024128264859,-58.3637163256414,2024-05-30 13:59:06,118
11875,70,-34.5549140959836,-58.461618784371,2024-05-30 14:00:25,119
56,70,-34.6049834570708,-58.5030185977437,2024-05-30 14:00:59,120
11863,70,-34.5547031637866,-58.460881917613,2024-05-30 14:03:14,121
14480,70,-34.6039522784279,-58.501272303026,2024-05-30 14:03:58,122
21081,20,-34.6534081781802,-58.5048752450607,2024-05-30 14:05:18,123
19233,20,-34.6547192601502,-58.5061900805706,2024-05-30 14:06:47,124
1358,20,-34.569584,-58.474984,2024-05-30 14:06:55,125
812,70,-34.6224418918022,-58.4876563920184,2024-05-30 14:07:11,126
26900,20,-34.6264841777681,-58.4403193214155,2024-05-30 14:11:13,127
2134,20,-34.6594319574116,-58.5128400191675,2024-05-30 14:13:43,128
26906,20,-34.5856224342991,-58.5129813489661,2024-05-30 14:13:53,129
